timestamp,open,high,low,close,volume
2026-03-19 14:35:00,0.264552,0.264582,0.263836,0.263986,2723.69511104
2026-03-19 14:40:00,0.263789,0.266418,0.263632,0.266396,84812.44427716
2026-03-19 14:45:00,0.265914,0.266281,0.265769,0.266281,355717.77782097
2026-03-19 14:50:00,0.266325,0.266613,0.265775,0.266613,377659.42017201
2026-03-19 14:55:00,0.266475,0.266682,0.266348,0.266525,2977.13414759
2026-03-19 15:00:00,0.266730,0.267593,0.266319,0.266333,26193.54838103
2026-03-19 15:05:00,0.266572,0.266572,0.265872,0.265872,190739.49434786
2026-03-19 15:10:00,0.265928,0.266872,0.265928,0.266122,56920.35507811
2026-03-19 15:15:00,0.266207,0.266207,0.265189,0.265241,421375.85571679
2026-03-19 15:20:00,0.265228,0.265375,0.264674,0.265214,4242.18736320
2026-03-19 15:25:00,0.265197,0.265426,0.264265,0.264300,61413.24521227
2026-03-19 15:30:00,0.264245,0.265094,0.264038,0.264681,12695.44367515
2026-03-19 15:35:00,0.264843,0.265141,0.264178,0.264680,33665.63933448
2026-03-19 15:40:00,0.264595,0.265469,0.264572,0.265181,16334.12397672
2026-03-19 15:45:00,0.265164,0.265546,0.265164,0.265500,15234.88966721
2026-03-19 15:50:00,0.265582,0.266717,0.265580,0.266696,9706.56478376
2026-03-19 15:55:00,0.266206,0.266352,0.265974,0.266281,9298.77464703
2026-03-19 16:00:00,0.266038,0.266272,0.265822,0.266272,4042.15300742
2026-03-19 16:05:00,0.266846,0.266911,0.266101,0.266101,2192.14481360
2026-03-19 16:10:00,0.265829,0.265998,0.265829,0.265905,893.56885155
2026-03-19 16:15:00,0.265825,0.266274,0.264265,0.264265,7735.06066629
2026-03-19 16:20:00,0.264070,0.264111,0.263329,0.263329,26632.83771586
2026-03-19 16:25:00,0.263484,0.263758,0.263471,0.263684,18865.72003750
2026-03-19 16:30:00,0.263664,0.264004,0.263664,0.263703,1548.14300249
2026-03-19 16:35:00,0.263801,0.264450,0.263657,0.264270,3430.55889533
2026-03-19 16:40:00,0.264168,0.264201,0.263551,0.263773,19422.49734793
2026-03-19 16:45:00,0.263596,0.264955,0.263452,0.264955,40159.21848827
2026-03-19 16:50:00,0.265397,0.265397,0.265200,0.265374,1468.81990670
2026-03-19 16:55:00,0.265686,0.265870,0.265457,0.265779,60154.75541085
2026-03-19 17:00:00,0.265076,0.265176,0.264827,0.265176,7751.18424467
2026-03-19 17:05:00,0.264613,0.264829,0.264498,0.264689,20007.48368975
2026-03-19 17:10:00,0.264627,0.264627,0.264068,0.264394,94750.00058851
2026-03-19 17:15:00,0.264290,0.264354,0.263956,0.263956,198937.37272670
