timestamp,open,high,low,close,volume
2025-12-27 20:00:00,87527.43,87582.25,87478.28,87513.45,21048898.08
2025-12-27 21:00:00,87513.45,87618.71,87513.45,87616.03,14644200.58
2025-12-27 22:00:00,87616.03,87900.38,87456,87516.39,37041564.9
2025-12-27 23:00:00,87516.39,87925.14,87515.05,87823.31,34343074.73
2025-12-28 00:00:00,87823.31,87901.32,87655.61,87796.19,25331285.14
2025-12-28 01:00:00,87796.19,87885.83,87688.54,87736.45,22001844.5
2025-12-28 02:00:00,87736.45,87817.56,87697.82,87752.13,9083537.21
2025-12-28 03:00:00,87752.13,87787.07,87681.41,87686.41,8306081.49
2025-12-28 04:00:00,87686.41,87775.32,87636.04,87669.46,17869557.22
2025-12-28 05:00:00,87669.46,87669.56,87556.73,87598.1,11403414.54
2025-12-28 06:00:00,87598.1,87731.5,87586.06,87671.89,11195695.23
2025-12-28 07:00:00,87671.89,87675.27,87610.97,87675.11,10492468.85
2025-12-28 08:00:00,87675.11,87914.76,87675.09,87749.04,15063695.87
2025-12-28 09:00:00,87749.04,87843.48,87665.9,87744.37,12955188.53
2025-12-28 10:00:00,87744.37,87953.43,87744.2,87803.14,20997216.65
2025-12-28 11:00:00,87803.14,87871.03,87760.04,87827.46,12406690.96
2025-12-28 12:00:00,87827.46,87834.01,87737.4,87790.83,14972904.95
2025-12-28 13:00:00,87790.83,87889.65,87751.71,87834.92,20012243.28
2025-12-28 14:00:00,87834.92,88018.43,87833.21,87859.37,26546697.47
2025-12-28 15:00:00,87859.37,87947.83,87771.95,87786.12,22283812.15
2025-12-28 16:00:00,87786.12,87845.25,87691.64,87761.32,15422790.88
2025-12-28 17:00:00,87761.32,87877,87674.3,87697.82,18321025.87
2025-12-28 18:00:00,87697.82,87706.93,87449.83,87541.61,49618567.22
2025-12-28 19:00:00,87541.61,87636.73,87450.62,87466.55,28551042.01
2025-12-28 20:00:00,87466.55,87601.13,87381.32,87457.2,23279724.61
2025-12-28 21:00:00,87457.2,87539.56,87386,87529.67,22957337.31
2025-12-28 22:00:00,87529.67,87927.19,87429.74,87843.56,29186164.23
2025-12-28 23:00:00,87843.56,87987.07,87585.83,87886.81,54617469.4
2025-12-29 00:00:00,87886.81,88371.98,87748.41,88232.96,102275311.41
2025-12-29 01:00:00,88232.96,88394.92,87800.31,88372.3,93125034.3
2025-12-29 02:00:00,88372.3,89296.1,88372.3,89085.13,224496108.94
2025-12-29 03:00:00,89085.13,90081.56,89016.47,90031.3,158416524.99
2025-12-29 04:00:00,90031.3,90327.16,89869.32,90069.1,108411238.02
2025-12-29 05:00:00,90069.1,90216.55,89851.97,89906.85,85778595.59
2025-12-29 06:00:00,89906.85,90042.53,89668.22,89687.13,66250981.32
2025-12-29 07:00:00,89687.13,89767.79,89413.37,89517.03,75510796.07
2025-12-29 08:00:00,89517.03,89728.85,89367.99,89455.93,64056217.96
2025-12-29 09:00:00,89455.93,89506.01,87683.97,88013.26,171845424.59
2025-12-29 10:00:00,88013.26,88173.01,87561.68,87686.05,95164466.91
2025-12-29 11:00:00,87686.05,87698.12,87471.49,87475.98,59562320.81
2025-12-29 12:00:00,87475.98,87530.45,86704.68,87281.82,228439243.78
2025-12-29 13:00:00,87281.82,87430.91,87074.52,87289.86,95205557.23
