timestamp,open,high,low,close,volume
2026-03-22 09:50:00,87.37,87.37,87.33,87.34,5.49118852
2026-03-22 09:51:00,87.3,87.31,87.27,87.28,252.9678512
2026-03-22 09:52:00,87.26,87.26,87.26,87.26,0.28921
2026-03-22 09:53:00,87.26,87.28,87.26,87.27,6.01026969
2026-03-22 09:54:00,87.27,87.33,87.27,87.32,156.2194567
2026-03-22 09:55:00,87.34,87.34,87.34,87.34,0.19523277
2026-03-22 09:56:00,87.34,87.36,87.34,87.35,116.92616138
2026-03-22 09:57:00,87.33,87.33,87.33,87.33,6.58484076
2026-03-22 09:58:00,87.36,87.37,87.36,87.37,0.77243
2026-03-22 09:59:00,87.33,87.33,87.3,87.3,0.5711
2026-03-22 10:00:00,87.32,87.32,87.27,87.28,1.31056506
2026-03-22 10:01:00,87.27,87.27,87.27,87.27,2.28167524
2026-03-22 10:02:00,87.28,87.35,87.28,87.35,10.36125262
2026-03-22 10:03:00,87.36,87.36,87.36,87.36,19.53094443
2026-03-22 10:04:00,87.38,87.43,87.38,87.41,0.64602533
2026-03-22 10:05:00,87.41,87.45,87.35,87.35,13.49008339
2026-03-22 10:06:00,87.28,87.28,87.26,87.28,12.32228725
2026-03-22 10:07:00,87.32,87.32,87.29,87.29,14.17289305
2026-03-22 10:08:00,87.25,87.27,87.25,87.27,18.75484418
2026-03-22 10:09:00,87.33,87.33,87.32,87.32,0.9238
2026-03-22 10:10:00,87.3,87.3,87.27,87.27,3.98436238
2026-03-22 10:11:00,87.26,87.27,87.26,87.27,3.09271335
2026-03-22 10:12:00,87.31,87.31,87.3,87.31,14.2578
2026-03-22 10:13:00,87.33,87.34,87.32,87.34,12.65873234
2026-03-22 10:14:00,87.35,87.35,87.34,87.35,3.29198
2026-03-22 10:15:00,87.33,87.33,87.31,87.32,1.31707767
2026-03-22 10:16:00,87.26,87.26,87.25,87.26,15.86864292
2026-03-22 10:17:00,87.31,87.33,87.31,87.32,2291.34505172
2026-03-22 10:18:00,87.37,87.41,87.37,87.41,3.6120642
2026-03-22 10:19:00,87.42,87.42,87.42,87.42,0.28729
2026-03-22 10:20:00,87.39,87.39,87.39,87.39,0.73518
2026-03-22 10:21:00,87.38,87.38,87.35,87.38,271.64323801
2026-03-22 10:22:00,87.37,87.37,87.35,87.37,31.15515
2026-03-22 10:23:00,87.37,87.39,87.35,87.39,17.49893
2026-03-22 10:24:00,87.44,87.45,87.44,87.45,18.722799
2026-03-22 10:25:00,87.45,87.49,87.45,87.48,154.95024207
2026-03-22 10:26:00,87.47,87.48,87.47,87.48,4.21169
2026-03-22 10:27:00,87.48,87.48,87.47,87.47,0.51029648
2026-03-22 10:28:00,87.48,87.48,87.46,87.46,6.12047
2026-03-22 10:29:00,87.45,87.45,87.39,87.41,16.87773105
2026-03-22 10:30:00,87.42,87.47,87.42,87.47,2.76961677
2026-03-22 10:31:00,87.48,87.48,87.47,87.48,0.10009
2026-03-22 10:32:00,87.47,87.47,87.36,87.36,5.84796432
2026-03-22 10:33:00,87.4,87.4,87.37,87.37,5.47531731
2026-03-22 10:34:00,87.36,87.36,87.35,87.36,8.2059543
2026-03-22 10:35:00,87.36,87.36,87.25,87.25,10.5028283
2026-03-22 10:36:00,87.24,87.31,87.24,87.31,3.50780351
2026-03-22 10:37:00,87.27,87.28,87.27,87.28,0.32818666
2026-03-22 10:38:00,87.32,87.35,87.32,87.35,0.81773182
2026-03-22 10:39:00,87.33,87.33,87.33,87.33,0.88234254
