universe,desc,n,sh_eq,sh_mv,delta_sharpe,dd_eq,dd_mv,dd_ratio,anchor,anchor_avg_weight,n_periods
LINK_ADA_ETH_BTC,Option B candidate,4,0.33483234765012004,0.6890302353255118,0.35419788767539173,-0.7928624810094731,-0.5093888674270693,0.6424681197911081,BTC,0.6479080163554748,6174
LINK_ADA_SOL_BTC,alts + BTC anchor,4,0.4586411560922383,0.8077445160690099,0.34910335997677155,-0.7549467960734089,-0.49307614953543055,0.6531270178242935,BTC,0.7383145609712114,6174
ETH_SOL_BTC_LINK,majors + BTC anchor,4,0.577572952557179,0.7805256163616822,0.20295266380450316,-0.8073923177726381,-0.5142321465590523,0.6369049286692126,BTC,0.6494416996264748,6174
LINK_ADA_SOL_ETH,4 alts no anchor,4,0.34374791922671394,0.3120279568384614,-0.03171996238825253,-0.9186049106004293,-0.9850809652049848,1.0723663174858327,ETH,0.6511077427327789,6174
LINK_ADA_ETH_SOL,permutation no anchor,4,0.34374791922671394,0.31202796574034236,-0.03171995348637158,-0.9186049106004293,-0.9850809632494786,1.0723663153570542,ETH,0.6511077423805165,6174
