regime,group,mean,ic_lo,ic_hi,excludes_zero
BULL,with-BTC,0.33322448575216507,-0.07453534706632543,0.734296531629815,False
BULL,no-BTC,0.20850957959253566,-0.2200548295253139,0.6296929668300365,False
BULL,effect,0.12471490615962942,-0.3873866319851117,0.5856697799971727,False
BEAR,with-BTC,0.27962078126176915,-0.05690540980004774,0.635021080799754,False
BEAR,no-BTC,0.008354444821364122,-0.29372352092976683,0.3418579775641958,False
BEAR,effect,0.271266336440405,-0.1423548198171371,0.658324452496457,False
RANGE,with-BTC,0.22152224404147808,-0.1866407033037787,0.645302294311168,False
RANGE,no-BTC,-0.17429339435363256,-0.6479734560417508,0.3015059310016793,False
RANGE,effect,0.39581563839511064,-0.21212911642941987,0.9653013992125377,False
