universe,desc,sh_eq,sh_mv,delta_sharpe,dd_eq,dd_mv,dd_ratio,anchor,anchor_avg_weight,n_periods
LINK_ADA_ETH,baseline c85,0.17937734946427306,0.2691034107177035,0.08972606125343044,-0.9405638702791128,-1.0184262319152249,1.0827826414520965,ETH,0.7680073289935624,6174
LINK_ADA_SOL,3 alts no anchor,0.33461648131533756,0.2976735895236115,-0.03694289179172605,-0.9234255659694083,-0.9824706226399263,1.0639413276461898,LINK,0.30652398236875295,6174
LINK_ADA_BTC,3 with BTC anchor,0.3239970738704611,0.8197054586203049,0.49570838474984374,-0.7691449220896023,-0.473166665238675,0.6151853202816218,BTC,0.8202915586702546,6174
ETH_SOL_BTC,3 majors with anchor,0.7162675187436695,0.859584512248182,0.14331699350451255,-0.7426847837549375,-0.45752969454388037,0.616048294716175,BTC,0.7208985171413211,6174
