regime,group,mean_observed,n_current,sigma_between,sigma_within_proxy,sigma_effective,agg_half_width,N_req_dlt0.10,power_dlt0.10,N_req_dlt0.20,power_dlt0.20,N_req_dlt0.30,power_dlt0.30,N_req_dlt0.40,power_dlt0.40,N_req_dlt0.50,power_dlt0.50
BULL,with-BTC,0.3090646468763392,10,0.06369620267525106,0.5978365582103073,0.6012202230198123,0.3726333075487202,283.7101251387679,0.07578793082721337,70.92753128469198,0.18193625950615044,31.523347237640888,0.3512179992721687,17.731882821172995,0.5572270219391074,11.348405005550717,0.7485452841647323
BULL,no-BTC,0.1791613176555134,8,0.10026645972978242,0.5403344236164438,0.5495585976869606,0.38081768111930236,237.04766838484855,0.0741880182313072,59.26191709621214,0.17602535953721404,26.338629820538728,0.3387246119086873,14.815479274053034,0.5393221374425731,9.481906735393942,0.7301936117219675
BULL,effect,0.1299033292208257,8,0.11532184500319706,0.21552200381612663,0.6337612678975489,0.4391660824519569,315.25287973481767,0.06505455268080705,78.81321993370442,0.14290023315982603,35.02809774831308,0.26727106765978736,19.703304983426104,0.43062029096883137,12.61011518939271,0.6069956084876137
BEAR,with-BTC,0.25004951874871956,10,0.11142648216315565,0.49912705152094694,0.5114134085915719,0.3169714900989992,205.28248463301716,0.0898590992433625,51.32062115825429,0.23475319425218877,22.809164959224134,0.45821105701776077,12.830155289563573,0.6961639250146447,8.211299385320688,0.871128102591877
BEAR,no-BTC,-0.05927541255406417,8,0.11127404477454576,0.3717734488020616,0.3880688215699204,0.2689130319623127,118.20209615502867,0.10913951656888815,29.550524038757167,0.30773865782893195,13.133566239447632,0.5896234144896285,7.387631009689292,0.830318124330314,4.728083846201146,0.9539352434325921
BEAR,effect,0.3093249313027838,8,0.14938072761334528,0.1774036040999473,0.5104444563372577,0.35371346207794874,204.50534234082403,0.07988384126490533,51.12633558520601,0.19717846526922977,22.72281581564712,0.38299201769246705,12.781583896301502,0.6012093636669775,8.180213693632961,0.7911992166752408
RANGE,with-BTC,0.23707276850837258,10,0.06572465112600288,0.628333484050321,0.6317615823587643,0.3915626903468312,313.2666047566044,0.07222549208624228,78.3166511891511,0.16881324120931557,34.80740052851161,0.32336259664883377,19.579162797287776,0.5168434772428883,12.530664190264178,0.7063600823552559
RANGE,no-BTC,-0.10424955012109027,8,0.1437378886198721,0.6054339877953039,0.6222627212059413,0.4311981425347757,303.9171740426156,0.06610743255251243,75.9792935106539,0.14665550672429128,33.768574893623956,0.27547178493647273,18.994823377663476,0.44361593358384893,12.156686961704626,0.6227575994353698
RANGE,effect,0.3413223186294629,8,0.1552944443224116,0.2365616121062469,0.7607893960418011,0.5271904667495069,454.29355549431125,0.05612184049596914,113.57338887357781,0.11191374717442987,50.47706172159015,0.19915647640921208,28.393347218394453,0.318155550966993,18.171742219772455,0.459740523539956
