window,slice,period,eq,raw,clip,lp,clip_minus_raw,lp_minus_raw
50,0,2023-01-01 → 2023-07-02,0.9386416165531951,1.8056004200772549,1.8089356525926967,1.819868746575715,0.003335232515441877,0.014268326498460215
50,1,2023-07-02 → 2023-12-31,2.4513138914311,0.5703176182025099,0.6638898568263231,0.5939858430522073,0.09357223862381314,0.023668224849697328
50,2,2024-01-01 → 2024-07-01,-0.11156752784202699,0.11242195332400169,0.07648087764236976,0.10500854129470358,-0.035941075681631934,-0.007413412029298114
50,3,2024-07-01 → 2024-12-30,0.8090697155561989,1.0329631297211141,0.9768601104223124,0.8722206948973259,-0.05610301929880179,-0.16074243482378825
50,4,2024-12-30 → 2025-07-01,-0.9618013523462604,0.3303921055404834,0.28150478081544295,0.2885521574546372,-0.04888732472504048,-0.041839948085846235
50,5,2025-07-01 → 2025-12-30,-0.9245272565329193,-1.7064270426530124,-1.7221222196172634,-1.7857867047774807,-0.015695176964251045,-0.07935966212446832
100,0,2023-01-01 → 2023-07-02,0.7488679898913105,1.8275461473530739,1.8117963841394245,1.7632950724983105,-0.015749763213649404,-0.06425107485476333
100,1,2023-07-02 → 2023-12-31,2.616724796794417,1.0745456503052093,1.1313868367591149,1.044834105914528,0.05684118645390557,-0.029711544390681244
100,2,2024-01-01 → 2024-07-01,0.11681006954163642,0.9134205120174348,0.9137679959443877,0.8684291739707231,0.0003474839269529406,-0.04499133804671174
100,3,2024-07-01 → 2024-12-30,1.1474055791718907,1.3129098767507332,1.361959371417695,1.2772374156108273,0.049049494666961735,-0.035672461139905964
100,4,2024-12-30 → 2025-07-01,-1.2197896359342972,0.4152188757509835,0.41421501720898446,0.3748610448649444,-0.0010038585419990254,-0.04035783088603906
100,5,2025-07-01 → 2025-12-30,-0.802946735823325,-1.4863176011684898,-1.4858509680706824,-1.5030716859344386,0.0004666330978073674,-0.016754084765948862
