universe,desc,n,has_btc,sh_eq,sh_mv,delta_sharpe,dd_eq,dd_mv,dd_ratio,anchor,anchor_avg_weight,dot_avg_weight,n_periods
LINK_ADA_DOT_BTC,DOT replaces SOL/ETH (alts+BTC),4,True,0.0701028825626057,0.619551121007177,0.5494482384445714,-1.0092696524765923,-0.5252684238289826,0.5204440879997282,BTC,0.7286095549152866,0.09936607087147996,6174
DOT_ADA_ETH_BTC,DOT replaces LINK,4,True,0.08594990710130222,0.5845878520815216,0.4986379449802194,-0.9147239964452267,-0.5043701878483711,0.5513905722474096,BTC,0.6474692981364422,0.09077032377355002,6174
LINK_DOT_SOL_BTC,DOT replaces ADA,4,True,0.29540549655625564,0.7028702289286,0.4074647323723443,-0.8747884392792287,-0.499736010870514,0.571264992118855,BTC,0.7298912006765214,0.1010782851772639,6174
LINK_ADA_DOT_ETH,DOT in no-anchor control,4,False,-0.023377364296636453,0.0587735597618367,0.08215092405847316,-1.058482489836664,-1.0131402509857161,0.9571629769161842,ETH,0.642030933961086,0.1640689733812244,6174
LINK_ADA_SOL_DOT,DOT replaces ETH (no anchor),4,False,0.10763745659076558,-0.013923328633545283,-0.12156078522431087,-1.1429064238629354,-1.1660690321363716,1.0202664083338935,LINK,0.17787230489573388,0.3467546637138978,6174
LINK_ADA_SOL_DOT_BTC,5 = canonical +DOT,5,True,0.23053137195420725,0.6199177956564874,0.38938642370228016,-0.9514320980376705,-0.5334903647683489,0.5607235302116391,BTC,0.6483163870527031,0.096946619062371,6174
LINK_ADA_ETH_DOT_BTC,5 = ETH variant +DOT,5,True,0.12102134456375535,0.5201431042838062,0.3991217597200508,-0.8799890999370101,-0.5610726392040962,0.6375904420228137,BTC,0.5762340932309786,0.08978463211177203,6174
LINK_ADA_SOL_ETH_DOT,5 alts no anchor +DOT,5,False,0.14844752217793789,0.12163392696104547,-0.026813595216892416,-0.9868985170460864,-0.9968886516416311,1.010122757733436,ETH,0.5440022200394141,0.14359538663603,6174
