regime,group,mean,ic_lo,ic_hi,excludes_zero
BULL,with-BTC,0.3090646468763392,-0.061871451350781655,0.6833951637466588,False
BULL,no-BTC,0.17916131765551344,-0.2025536635885769,0.5590816986500279,False
BULL,effect,0.12990332922082576,-0.3294680515605732,0.5488641133433406,False
BEAR,with-BTC,0.2500495187487196,-0.057016156738669006,0.5769268234593294,False
BEAR,no-BTC,-0.05927541255406417,-0.3208266609192961,0.2169994030053293,False
BEAR,effect,0.3093249313027838,-0.05552831276292373,0.6518986113929738,False
RANGE,with-BTC,0.23707276850837264,-0.1528195797803791,0.6303058009132834,False
RANGE,no-BTC,-0.1042495501210903,-0.5281893203346198,0.3342069647349315,False
RANGE,effect,0.34132231862946294,-0.20332354924384805,0.8510573842551657,False
