universe,desc,n,sh_eq,sh_mv,delta_sharpe,dd_eq,dd_mv,dd_ratio,anchor,anchor_avg_weight,n_periods
LINK_ADA_SOL_ETH_BTC,Option C candidate (4 alts + BTC),5,0.4452590107628906,0.6916925674213908,0.24643355665850025,-0.7962608733590633,-0.5462390656199843,0.6860051572239755,BTC,0.5774542660976268,6174
LINK_ADA_SOL_BTC_AVAX,alts + BTC + AVAX,5,0.3183111308716696,0.6756997893255973,0.35738865845392764,-0.894743416468662,-0.5522266968142557,0.6171900084984836,BTC,0.6560718123271863,6174
ETH_SOL_BTC_LINK_ADA,permutation Option C (sanity),5,0.4452590107628906,0.691692561676827,0.24643355091393643,-0.7962608733590635,-0.5462390655406992,0.6860051571244037,BTC,0.5774542665502376,6174
LINK_ADA_SOL_ETH_AVAX,5 alts no anchor,5,0.23443191505596708,0.2662774523780147,0.03184553732204762,-0.9894883911301902,-1.0056316114457526,1.0163147142101625,ETH,0.5775362760093841,6174
LINK_ADA_SOL_ETH_APT,5 alts no anchor variation,5,0.07186207459429686,0.14057455623201,0.06871248163771315,-1.0947750938749916,-1.0090287318126023,0.921676732927046,ETH,0.5617572514621326,6174
